"nama_stasiun","kota_kabupaten","nama_kereta"
"Stasiun Blitar","Blitar","Kereta api Gajayana"
"Stasiun Blitar","Blitar","Kereta api Rapih Dhoho"
"Stasiun Blitar","Blitar","Kereta api Penataran"
"Stasiun Blitar","Blitar","Kereta api Matarmaja"
"Stasiun Blitar","Blitar","Kereta api Malabar"
"Stasiun Blitar","Blitar","Kereta api Majapahit"
"Stasiun Blitar","Blitar","Kereta api Malioboro Ekspres"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Argo Wilis"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Bima"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Mutiara Timur"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Sancaka"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Turangga"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Rapih Dhoho"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Penataran"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Logawa"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Sri Tanjung"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Mutiara Selatan"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Delta Ekspres"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Gaya Baru Malam Selatan"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Arek Surokerto"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Pasundan"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Surabaya-Jombang-Kertosono"
"Stasiun Surabaya Gubeng","Surabaya","Kereta api Arjuna Ekspres"
"Stasiun Surabaya Kota","Surabaya","Kereta api Delta Ekspres"
"Stasiun Surabaya Kota","Surabaya","Kereta Api Arjuna Ekspres"
"Stasiun Bangil","Pasuruan","Kereta api Mutiara Timur"
"Stasiun Bangil","Pasuruan","Kereta api Penataran"
"Stasiun Bangil","Pasuruan","Kereta api Logawa"
"Stasiun Bangil","Pasuruan","Kereta api Sri Tanjung"
"Stasiun Bangil","Pasuruan","Kereta api Tawang Alun"
"Stasiun Gembong","Lamongan","Kereta api Surabaya-Bojonegoro"
"Stasiun Gembong","Lamongan","Kereta api Surabaya-Babat"
"Stasiun Porong","Sidoarjo","Kereta api Penataran"
"Stasiun Porong","Sidoarjo","Kereta api Delta Ekspres"
"Stasiun Benowo","Surabaya","Kereta api Surabaya-Lamongan"
"Stasiun Benowo","Surabaya","Kereta api Surabaya-Bojonegoro"
"Stasiun Benowo","Surabaya","Kereta api Surabaya-Babat"
"Stasiun Kandangan","Surabaya","Kereta api Surabaya-Lamongan"
"Stasiun Kandangan","Surabaya","Kereta api Surabaya-Bojonegoro"
"Stasiun Kandangan","Surabaya","Kereta api Surabaya-Babat"
"Stasiun Tandes","Surabaya","Kereta api Surabaya-Lamongan"
"Stasiun Tandes","Surabaya","Kereta api Surabaya-Bojonegoro"
"Stasiun Tandes","Surabaya","Kereta api Surabaya-Babat"
"Stasiun Cerme","Gresik","Kereta api Surabaya-Lamongan"
"Stasiun Cerme","Gresik","Kereta api Surabaya-Bojonegoro"
"Stasiun Cerme","Gresik","Kereta api Surabaya-Babat"
"Stasiun Duduk","Gresik","Kereta api Surabaya-Lamongan"
"Stasiun Duduk","Gresik","Kereta api Surabaya-Bojonegoro"
"Stasiun Duduk","Gresik","Kereta api Surabaya-Babat"
"Stasiun Lamongan","Lamongan","Kereta api Gumarang"
"Stasiun Lamongan","Lamongan","Kereta api Sembrani"
"Stasiun Lamongan","Lamongan","Kereta api Kertajaya"
"Stasiun Lamongan","Lamongan","Kereta api Surabaya-Lamongan"
"Stasiun Lamongan","Lamongan","Kereta api Surabaya-Bojonegoro"
"Stasiun Lamongan","Lamongan","Kereta api Surabaya-Babat"
"Stasiun Sumlaran","Lamongan","Kereta api Surabaya-Bojonegoro"
"Stasiun Sumlaran","Lamongan","Kereta api Surabaya-Babat"
"Stasiun Pucuk","Lamongan","Kereta api Surabaya-Bojonegoro"
"Stasiun Pucuk","Lamongan","Kereta api Surabaya-Babat"
"Stasiun Babat","Lamongan","Kereta api Kertajaya"
"Stasiun Babat","Lamongan","Kereta api Surabaya-Bojonegoro"
"Stasiun Babat","Lamongan","Kereta api Surabaya-Babat"
"Stasiun Babat","Lamongan","Gumarang"
"Stasiun Babat","Lamongan","KRDi AC"
"Stasiun Bowerno","Bojonegoro","Kereta api Surabaya-Bojonegoro"
"Stasiun Sumberrejo","Bojonegoro","Kereta api Surabaya-Bojonegoro"
"Stasiun Kapas","Bojonegoro","Kereta api Surabaya-Bojonegoro"
"Stasiun Indro","Gresik","Kereta Api Barang Angkutan Semen , Kereta Api Barang Angkutan CPO"
"Stasiun Gresik","Gresik","-"
"Stasiun Sepanjang","Sidoarjo","Kereta api Rapih Dhoho"
"Stasiun Sepanjang","Sidoarjo","Kereta api Logawa"
"Stasiun Sepanjang","Sidoarjo","Kereta api Sri Tanjung"
"Stasiun Sepanjang","Sidoarjo","Kereta api Arek Surokerto"
"Stasiun Sepanjang","Sidoarjo","Kereta api Surabaya-Jombang-Kertosono"
"Stasiun Boharan","Sidoarjo","Kereta api Rapih Dhoho"
"Stasiun Boharan","Sidoarjo","Kereta api Arek Surokerto"
"Stasiun Boharan","Sidoarjo","Kereta api Surabaya-Jombang-Kertosono"
"Stasiun Kedinding","Sidoarjo","Kereta api Rapih Dhoho"
"Stasiun Kedinding","Sidoarjo","Kereta api Arek Surokerto"
"Stasiun Kedinding","Sidoarjo","Kereta api Surabaya-Jombang-Kertosono"
"Stasiun Gedangan (Jawa Timur)","Sidoarjo","Kereta api Penataran"
"Stasiun Gedangan (Jawa Timur)","Sidoarjo","Kereta api Logawa"
"Stasiun Gedangan (Jawa Timur)","Sidoarjo","Kereta api Sri Tanjung"
"Stasiun Gedangan (Jawa Timur)","Sidoarjo","Kereta api Delta Ekspres"
"Stasiun Gununggangsir","Pasuruan","-"